Entry	Entry name	Gene names
P76576	YFGM_ECOLI	yfgM b2513 JW2497
P0AGH8	PSTC_ECOLI	pstC phoW b3727 JW3705
P0A8S5	USPB_ECOLI	uspB yhiO b3494 JW3461
P00963	ASNA_ECOLI	asnA b3744 JW3722
P0AG80	UGPB_ECOLI	ugpB b3453 JW3418
P10384	FADL_ECOLI	fadL ttr b2344 JW2341
P0AFM9	PSPB_ECOLI	pspB b1305 JW1298
P03004	DNAA_ECOLI	dnaA b3702 JW3679
P0AGM7	URAA_ECOLI	uraA b2497 JW2482
P0A8F0	UPP_ECOLI	upp uraP b2498 JW2483
P0AB77	KBL_ECOLI	kbl b3617 JW3592
P25516	ACNA_ECOLI	acnA acn b1276 JW1268
P0A8H3	ZUPT_ECOLI	zupT ygiE b3040 JW3008
P00926	SDHD_ECOLI	dsdA b2366 JW2363
P45522	KEFB_ECOLI	kefB trkB b3350 JW3313
P30177	YBIB_ECOLI	ybiB b0800 JW0785
P0AAF6	ARTP_ECOLI	artP b0864 JW0848
P76220	YDJY_ECOLI	ydjY b1751 JW5283
P16682	PHND_ECOLI	phnD psiD b4105 JW4066
P38052	SFMF_ECOLI	sfmF ybcG b0534 JW5072
P0AC23	FOCA_ECOLI	focA ycaE b0904 JW0887
P31801	CHAA_ECOLI	chaA b1216 JW1207
P63417	YHBS_ECOLI	yhbS b3156 JW3125
P76389	YEGH_ECOLI	yegH b2063 JW5336
P0AEU0	HISJ_ECOLI	hisJ b2309 JW2306
P76460	ATOE_ECOLI	atoE b2223 JW2217
P0ACP5	GNTR_ECOLI	gntR b3438 JW5946
P0AAN9	IRAP_ECOLI	iraP yaiB b0382 JW0373
P0ABH4	MRED_ECOLI	mreD b3249 JW3218
P39325	YTFQ_ECOLI	ytfQ b4227 JW4186
P0A6G7	CLPP_ECOLI	clpP lopP b0437 JW0427
P0A9U3	YBIT_ECOLI	ybiT b0820 JW0804
P0AFK0	PMBA_ECOLI	pmbA tldE b4235 JW4194
P77475	YQAB_ECOLI	yqaB b2690 JW2665
P36554	MDTD_ECOLI	mdtD yegB b2077 JW2062
P75838	YCAO_ECOLI	ycaO b0905 JW0888
P10903	NARK_ECOLI	narK b1223 JW1214
P37903	USPF_ECOLI	uspF ynaF yzzL b1376 JW1370
P75933	FLGA_ECOLI	flgA b1072 JW1059
P30847	BAES_ECOLI	baeS b2078 JW2063
